Satellite ID,Distance (km)
GPS BIIR-2  (PRN 13),8797.15413
GPS BIIR-4  (PRN 20),10032.78006
GPS BIIR-5  (PRN 22),7528.690126
GPS BIIR-8  (PRN 16),8098.404317
GPS BIIR-9  (PRN 21),3418.04926
GPS BIIR-11 (PRN 19),7598.741018
GPS BIIR-13 (PRN 02),2647.035112
GPS BIIRM-1 (PRN 17),5276.64413
GPS BIIRM-2 (PRN 31),8968.905645
GPS BIIRM-3 (PRN 12),11602.987106
GPS BIIRM-4 (PRN 15),10453.130524
GPS BIIRM-5 (PRN 29),12640.365654
GPS BIIRM-6 (PRN 07),2173.185339
GPS BIIRM-8 (PRN 05),10231.256336
GPS BIIF-1  (PRN 25),11965.064198
GPS BIIF-3  (PRN 24),12336.727755
GPS BIIF-4  (PRN 27),7921.138709
GPS BIIF-5  (PRN 30),5096.889295
GPS BIIF-6  (PRN 06),9263.917708
GPS BIIF-7  (PRN 09),4451.488928
GPS BIIF-8  (PRN 03),7316.863248
GPS BIIF-9  (PRN 26),9271.601239
GPS BIIF-10 (PRN 08),5358.692174
GPS BIIF-11 (PRN 10),9563.927497
GPS BIIF-12 (PRN 32),11657.125533
GPS BIII-1  (PRN 04),5622.723476
GPS BIII-2  (PRN 18),11508.668786
GPS BIII-3  (PRN 23),10228.077132
GPS BIII-4  (PRN 14),6502.991818
GPS BIII-5  (PRN 11),11112.537368
GPS BIII-6  (PRN 28),10777.577819
