Satellite,Latitude,Longitude,Altitude,Year,Month,Day,Hour,Minute,Second
GPS BIIR-2  (PRN 13),-47.34297827977022,47.59317661074438,20424.379044524405,2024,11,5,17,5,0
GPS BIIR-4  (PRN 20),-22.3077278953356,84.65687670199387,20226.78470841695,2024,11,5,17,5,0
GPS BIIR-5  (PRN 22),9.526407048009796,110.14376866635973,20411.483122498343,2024,11,5,17,5,0
GPS BIIR-8  (PRN 16),-39.84848310642054,-98.89772536858004,20251.529760854002,2024,11,5,17,5,0
GPS BIIR-9  (PRN 21),12.327919412221153,-142.34772597077225,20841.157899106278,2024,11,5,17,5,0
GPS BIIR-11 (PRN 19),53.76445412425007,107.20124824030152,20031.109911322514,2024,11,5,17,5,0
GPS BIIR-13 (PRN 02),25.267573046176718,-152.09201655979732,20551.591105952357,2024,11,5,17,5,0
GPS BIIRM-1 (PRN 17),40.72818943067396,138.74002907760362,20525.73760495526,2024,11,5,17,5,0
GPS BIIRM-2 (PRN 31),22.412037555108846,-110.01160846441844,19911.159108397413,2024,11,5,17,5,0
GPS BIIRM-3 (PRN 12),55.1138735168464,22.583313932662694,19961.963576379796,2024,11,5,17,5,0
GPS BIIRM-4 (PRN 15),-36.13070640909712,15.108937167595894,20553.145780796724,2024,11,5,17,5,0
GPS BIIRM-5 (PRN 29),-6.094794963684899,-8.15265173387004,20255.715676747055,2024,11,5,17,5,0
GPS BIIRM-6 (PRN 07),-51.23496811274225,169.03567714254103,19846.783866599388,2024,11,5,17,5,0
GPS BIIRM-8 (PRN 05),-46.260893538024554,63.851848716030304,20305.087804991155,2024,11,5,17,5,0
GPS BIIF-1  (PRN 25),42.7976830901995,-27.99810764566763,19875.602809971257,2024,11,5,17,5,0
GPS BIIF-3  (PRN 24),18.157705552086863,32.00527800364672,20240.722166696894,2024,11,5,17,5,0
GPS BIIF-4  (PRN 27),-51.91438225356689,-125.60719864781602,20493.92832080231,2024,11,5,17,5,0
GPS BIIF-5  (PRN 30),-51.622052779803916,120.02997749967376,20045.830741302525,2024,11,5,17,5,0
GPS BIIF-6  (PRN 06),41.487663477566564,88.19624824640681,20201.44716575016,2024,11,5,17,5,0
GPS BIIF-7  (PRN 09),-8.154118835424775,164.5121626386769,20230.365687899197,2024,11,5,17,5,0
GPS BIIF-8  (PRN 03),54.90897871998825,-178.14351862184253,20048.402476374773,2024,11,5,17,5,0
GPS BIIF-9  (PRN 26),-13.760351302658242,-83.63387932887488,20021.014768605375,2024,11,5,17,5,0
GPS BIIF-10 (PRN 08),-36.183376881819235,-158.9736981877372,20427.668924160032,2024,11,5,17,5,0
GPS BIIF-11 (PRN 10),-1.1114986098000827,-67.35600890185661,19989.41720545637,2024,11,5,17,5,0
GPS BIIF-12 (PRN 32),44.29059387465201,-51.52949643236631,20284.843238342826,2024,11,5,17,5,0
GPS BIII-1  (PRN 04),12.382716253946848,-177.53232529549777,20266.1772608395,2024,11,5,17,5,0
GPS BIII-2  (PRN 18),-54.50130853481131,-19.058793928251458,20195.80544166181,2024,11,5,17,5,0
GPS BIII-3  (PRN 23),-30.636879963168173,-46.52853016814811,20069.519991580943,2024,11,5,17,5,0
GPS BIII-4  (PRN 14),-9.452644506698068,119.87745215846117,20051.52559268934,2024,11,5,17,5,0
GPS BIII-5  (PRN 11),12.548074255970395,63.25283003643178,20224.0514726873,2024,11,5,17,5,0
GPS BIII-6  (PRN 28),44.136241871581056,-87.47739248815661,20181.822161060194,2024,11,5,17,5,0
